#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapeto,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（PS 含む）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) ETO は PS の権限が無いと何も始まらない,プロジェクトプロファイルが選べない場合は番号範囲（OPSA）と権限を確認してください。
69,sapeto,handson-3.html,3-2 製造実績（CO11N）と活動確認（CN25）,,.png,ネットワーク活動の確認（活動 0020 組立の実作業時間）,CN25,CN25：ネットワーク活動の確認,1) ネットワークを使う場合はここで工数を拾う。製造指図（CO11N）と二重計上しないこと,進捗（CNE1 / CNE2）は練習⑤ で扱います（結果分析・WIP の材料）。どちらで工数を拾うかは案件設計で決めてください。
70,sapeto,handson-3.html,3-3 完成品入庫（MIGO 101 → プロジェクト在庫 Q）,,.png,入庫（A01）：参照「指図」で 101 → プロジェクト在庫 Q,MIGO,MIGO：101 で完成品をプロジェクト在庫 Q へ入庫,1) 確認すべきは 3 点：移動タイプ 101・特別在庫 Q（WBS 付き）・数量 1,評価付プロジェクト在庫なら金額も同時に計上されます。入庫先が自動表示されない場合は、指図の勘定設定（CO03）と評価付フラグ（CJ20N）を確認してください。
71,sapeto,handson-3.html,3-3 完成品入庫（MIGO 101 → プロジェクト在庫 Q）,,.png,入庫（101）がプロジェクト在庫に入らないとき（誤り例）,MIGO,誤り例：101 入庫が自由在庫へ入ってしまう状態,1) ① 指図の勘定設定（CO03）② 評価付在庫フラグ（CJ20N）③ MRP4 の個別所要量 ④ 戦略グループ（OVZG）を順に点検,対処は MBST（または MIGO の取消）で取り消し → 設定を修正 → 再入庫。原因の切り分けは 練習⑤ の故障対照表と C9 の 4 点セットが近道です。
72,sapeto,handson-3.html,3-4 在庫と金額の確認（MMBE / MB52 / MSPR）,,.png,在庫概況：プロジェクト在庫 Q = 1 PC、自由在庫 = 0,MMBE,MMBE：プロジェクト在庫 Q と自由在庫,1) MTO は MSKA（受注在庫 E）、ETO は MSPR（プロジェクト在庫 Q）。ここが読み分けの核心 / 2) 金額欄が空なら評価付プロジェクト在庫 OFF か評価クラス未設定（C9 / C2）,MB52 でも「プロジェクト在庫」欄に数量が出ます。金額は MMBE の金額欄または MB5B（在庫推移）で確認してください。
73,sapeto,handson-3.html,3-4 在庫と金額の確認（MMBE / MB52 / MSPR）,,.png,表の確認：MSPR（SOBKZ = Q、WBS 付き）,SE16N,SE16N：MSPR（プロジェクト在庫のテーブル）,1) SOBKZ = Q と WBS の組み合わせが、プロジェクト在庫であることの物理的な証拠,自システムでの確認：数量・金額の項目名は表の項目（F1）で確認してください。移動の証跡は MATDOC（/ MSEG）で移動タイプ 261・101 を追えます。
74,sapeto,handson-3.html,3-5 指図と WBS の状態確認,,.png,指図の状態確認：REL CNF・入庫済 1・部品消費 261 計上,CO03,CO03：指図と WBS の状態確認,1) 状態が REL CNF で入庫済 1 = 練習③ の完了状態,CJI3 では WBS .2 に材料費・労務費が出ているかを確認し、CJ31 の使用額（実績＋コミット）が動いたことを説明できるようにします。MD04 では需要と補貨が並び、プロジェクト在庫 +1 / 利用可能 0 になります。
75,sapeto,handson-4.html,4-1 出荷伝票の登録（VL01N）,,.png,出荷伝票の登録：初期画面（出荷タイプ LF）,VL01N,VL01N：出荷伝票登録の初期画面,1) 納入日付範囲が受注の納期を外すと納入日程行が出ない（範囲を広げて確認）,VA03 の明細から「明細 → 出荷」で作る方法もあります。引当が 0 のときはプロジェクト在庫 Q に数量が入っているか（練習③ の 101）を確認してください。
76,sapeto,handson-4.html,4-1 出荷伝票の登録（VL01N）,,.png,出荷伝票の明細：在庫区分 Q と WBS・引当 1,VL01N,VL01N：出荷伝票の明細（在庫区分 Q・WBS 付き）,1) 在庫区分が「受注在庫 E」ではなく「Q」であることが ETO の証拠 / 2) 引当 1 が取れている＝プロジェクト在庫 Q に在庫がある。0 なら練習③ の 101 を疑う,Cloud で PGI が通らない既知事象があります。その場合は SAP KBA 3623492（戦略グループ E2・6GD の活性状況）を確認してください。
77,sapeto,handson-4.html,4-2 ピッキングと出庫確認（VL02N）,,.png,出荷伝票の変更：ピッキング数量 1 と出庫確認（PGI）,VL02N,VL02N：ピッキングと出庫確認（PGI）,1) PGI（出庫確認）は「出荷伝票 → 出庫確認」から実行する。在庫区分 Q からの出庫になる,取消は VL09（出庫確認の取消）。請求まで作ってしまった場合は、先に VF11 で請求を取り消します（逆順厳守）。
78,sapeto,handson-4.html,4-2 ピッキングと出庫確認（VL02N）,,.png,出庫確認（PGI）が通らないとき（誤り例）,VL02N,誤り例：出庫確認（PGI）が通らないとき,1) Cloud の 6GD（戦略グループ E2）ではプロジェクト在庫 Q の出荷で PGI できない既知事象がある（KBA 3623492）,On-Premise では MM03 の MRP3・受注明細の所要量タイプ・在庫区分（Q）を順に確認します。Cloud はスコープアイテム（6GD）の活性状況と Test Script を優先してください。
79,sapeto,handson-4.html,4-2 ピッキングと出庫確認（VL02N）,,.png,出庫確認の確認：MATDOC（移動タイプ 601・特別在庫 Q）,SE16N,MATDOC：出庫確認（601・特別在庫 Q）,1) 601 が出庫確認。MMBE ではプロジェクト在庫 Q が 0 になります（納品された）,会計伝票は FB03 で確認します（在庫 → 売上原価）。評価付プロジェクト在庫なら金額も同時に動きます。
80,sapeto,handson-4.html,4-3 請求（VF01：請求計画/出来高）,,.png,請求伝票の登録（請求タイプ F2・請求計画の行で請求）,VF01,VF01：請求（請求計画の行で 30% を請求）,1) 請求日付が請求計画の行にあることが条件（無い日付は KBA 2763512 のエラー）,分割請求を練習する場合は、請求計画の日付順に VF01 を 2 回実行します（1 回目 30% / 2 回目 70%）。
81,sapeto,handson-4.html,4-3 請求（VF01：請求計画/出来高）,,.png,請求伝票の照会：条件と金額の確認,VF03,VF03：請求の条件と金額,1) 金額が 0 のときは条件 PR00 の有無・有効期間を VK13 で確認する（FV11 で取消 → 再作成）,会計伝票は VF03 の会計伝票ボタンまたは FB03 で確認します（売掛金 / 売上）。
82,sapeto,handson-4.html,4-4 WBS に売上と原価が集まったか（CJI3）,,.png,WBS 別の原価・収益：収益は .1、原価は .2,CJI3,CJI3：WBS 別の原価・収益（ETO の答え合わせ）,1) 収益が出ないときの第一嫌疑は「請求要素ではない WBS に請求が載っている」ことと受注明細の WBS / 2) 原価が出ないときの第一嫌疑は指図・発注の勘定設定（CO03 / ME23N）,自システムでの確認：実績の費目（材料費・労務費・外注費・諸経費）は原価要素の設定と評価額で変わります。「決済前」は指図の原価がまだ WBS へ確定していないことがあります（練習⑤ の CJ88 の後にもう一度見る）。
83,sapeto,handson-4.html,4-4 WBS に売上と原価が集まったか（CJI3）,,.png,予算の使用額の確認（実績＋コミットメント）,CJ31,CJ31：予算の使用額の確認,1) 在庫・消費・請求が動くほど使用額が増える。可用性管理の警告はここが根拠になる,金額は在庫評価額・作業時間レート・決済のタイミングで変わります。「予算内かどうか」と「警告が出ていないか」の 2 点を確認できれば十分です。
84,sapeto,handson-4.html,4-5 伝票フローで全リンクを確認（VA03 / VBFA）,,.png,伝票フロー：受注 → 指図 → 入庫 → 出荷 → 出庫確認 → 請求,VA03,VA03：伝票フロー（受注から請求まで）,1) 在庫の動き（261 / 101 / 601）がすべて指図と特別在庫 Q に紐づいていることが読み取れる / 2) 請求は受注（明細 000010 の WBS）に帰属し、収益が WBS .1 に立つ,プロジェクト側から確認するなら CJ20N / CJ03 でプロジェクトを開き、WBS に「受注・指図・在庫・請求」がぶら下がっているかをオブジェクト概要や実績 / 決済のビューで見ます。
85,sapeto,handson-4.html,4-5 伝票フローで全リンクを確認（VA03 / VBFA）,,.png,表の確認：VBFA（伝票フロー）,SE16N,SE16N：VBFA による伝票フローの確認,1) 画面（VA03 の伝票フロー）と表（VBFA）の両方で確認するのが実務の型,自システムでの確認：VBFA の項目は先行伝票（VBELV / VBTYP_V）と後続伝票（VBELN / VBTYP_N）です。列見出しは画面の並びに合わせています。
86,sapeto,handson-5.html,8. CJI3 / MD04 読法表,,.png,CJI3 の読み方（列ごとの意味）,CJI3,CJI3 の読法（計画 / 実績 / 収益 / 決済 / WIP）,1) 収益の行が空なら請求要素（.1）のフラグと受注明細の WBS、原価の行が空なら指図/発注の勘定設定を疑う,実績の費目は原価要素の設定に依存します。決済（CJ88 / KO88）の前後で同じ CJI3 を見比べると「月末処理の意味」が見えます。
87,sapeto,handson-5.html,8. CJI3 / MD04 読法表,,.png,MD04 の読み方（行ごとの意味）,MD04,MD04 の読法（得意先所要量 / 計画手配 / プロジェクト在庫）,1) 計画手配の 1 行（勘定設定 = WBS、在庫区分 = Q）が読めれば、ETO の在庫設計は理解できています,列見出しは画面の並びに合わせています（名称は環境により異なる場合があります）。表で確認する癖をつけると、症状から原因を引けるようになります。
88,sapeto,handson-5.html,発展 1：進捗と結果分析（WIP と収益を正しく出す）,,.png,進捗の決定（個別処理）：WBS とネットワークの進捗を決める,CNE1,CNE1：進捗の決定（個別処理）,1) 進捗は「材料」。ここで入れた値と実績原価の関係で WIP が決まる。結果分析（KKA2）を実行するまで損益は動かない / 2) 進捗テクニック（原価比例＝POC / 数量比例 / 実績工数）で収益認識の計算式が決まる,自システムでの確認：一括は CNE2、活動の実績は CN25 / CN27、予測日付は CJ23。進捗の材料が無いと結果分析（KKA2）で収益が立ちません。
89,sapeto,handson-5.html,発展 1：進捗と結果分析（WIP と収益を正しく出す）,,.png,結果分析の実行：WIP と認識収益を計算する,KKA2,KKA2：結果分析の実行（WIP と認識収益）,"1) 進捗 60 % なら認識収益 = 受注 5,000,000 × 60 % = 3,000,000。実績原価 3,000,000 と一致するので WIP は 0（損益が出る） / 2) WIP の金額は KKAX（WIP 照会）で確認する。進捗 40 % なら認識収益 2,000,000 → 差 1,000,000 が WIP として繰延",自システムでの確認：一括は KKAJ、対象期間（カットオフ）は KKA0P 系。結果分析キー / 収益認識キーは環境依存なので、WBS の設定を先に記録してください。
90,sapeto,handson-5.html,発展 2：決済（原価を WBS へ確定させる）,,.png,WBS の決済：決済を実行する（原価を WBS へ確定させる）,CJ88,CJ88：WBS の決済実行,1) 実行の前に CJI3 で「指図の原価がまだ WBS へ確定していない」状態を記録しておく。実行後の CJI3 と見比べるのがこの発展の目的 / 2) 決済ルール（CJB2）が無いと決済できない。指図は KO88 / 受注は VA88 / WBS の一括は CJ8G,自システムでの確認：テスト実行で先にログを見る癖をつけてください。決済後に CJI3 の「決済」列がマイナス表示になることがあります（正常）。
91,sapeto,handson-5.html,発展 2：決済（原価を WBS へ確定させる）,,.png,決済明細の照会：決済で何がどこへ流れたか,CJIC,CJIC：決済明細（決済の行き先）,1) 決済で WBS の原価・収益が決済受信者へ出る。CJI3 の同じ金額と一致すれば链路は通っている,自システムでの確認：金額と決済タイプは決済対象（WBS に集まった原価・収益）と決済ルール（CJB2）次第で変わります。一括の決済明細は CJID です。
92,sapeto,handson-5.html,発展 3：予算と可用性管理（超支会怎样）,,.png,元予算の照会：予算と使用額（超支の姿を見る）,CJ31,CJ31：予算と使用額（超支の姿）— 投入は CJ30 / 解放は CJ32,1) 使用額は「実績＋コミットメント」。発注（ME21N）しただけでも予算を食う＝超過の主因になりやすい / 2) 超過したまま進めると可用性管理（CJBV）の警告/エラーで購買・指図が止まる。増額は CJ37（補足）/ CJ34（振替）,自システムでの確認：予算の投入・変更は CJ30、解放は CJ32、増額は CJ37（補足）/ CJ34（振替）。列見出しは画面の並びに合わせています（名称は環境により異なる場合があります）。
93,sapeto,handson-5.html,発展 3：予算と可用性管理（超支会怎样）,,.png,可用性管理の活性化：予算超過時の挙動（警告 / エラー）,CJBV,CJBV：可用性管理の活性化と許容範囲,1) 100 % でエラーにするか警告で止めるかは業務要件。業務と合意してから設定する（ここが「超支会怎样」の答え） / 2) 超過させたまま進めたいなら CJ37（補足）/ CJ34（振替）で予算を増やす。実行時のメッセージ番号を必ず記録する,自システムでの確認：ME21N（発注）または CO02（数量増）で予算を超えさせ、警告かエラーか・メッセージ番号・対処（CJ34 / CJ37）を記録してください。挙動は予算プロファイル次第です。
94,sapeto,handson-5.html,発展 4：出来高請求（マイルストーン請求）,,.png,請求計画：日付ベース 2 行（30 % / 70 %）と請求ステータス,VA02,VA02：請求計画（30 % / 70 % の 2 行と請求ステータス）,1) 請求ステータス C は請求済みの印（請求後に自動で付き、同じ行の二重請求を防ぐ） / 2) 請求計画に無い日付では請求できない（KBA 2763512）。出来高ベースならマイルストーンとの紐付けが前提,自システムでの確認：請求計画タイプ（日付ベース / 出来高ベース）と明細カテゴリの請求関連は VA03 と VOV7 で確認。マイルストーンは CN22（変更）/ CN23（照会）で登録・確認します。
95,sapeto,handson-5.html,発展 4：出来高請求（マイルストーン請求）,,.png,請求伝票の登録：請求計画の行 2（完成・検収 70 %）,VF01,VF01：請求（請求計画の行 2 で 70 % を請求）,"1) マイルストーン達成で行 2 が「請求可能」になった（CN22 でマイルストーンと「請求の解除」を設定） / 2) 請求後は行 2 の請求ステータスが C になり、CJI3 の WBS .1 に収益が累計 5,000,000 立つ",自システムでの確認：出来高ベースの請求計画は請求計画タイプとマイルストーンの紐付け、明細カテゴリの請求関連（VOV7）が前提です。取消は VF11。
96,sapeto,handson-5.html,発展 5：ネットワーク中心の運用（工数と進捗）,,.png,ネットワーク活動の確認：工数を計上して進捗の材料にする,CN25,CN25：ネットワーク活動の確認（工数の計上）,1) 計上した工数は CJI3 で WBS の労務費として見える（ネットワークは WBS .2 にぶら下がる） / 2) 製造指図（CO11N）と同じ作業を両方に計上しない。どちらで工数を拾うか案件ルールで決める,自システムでの確認：一括確認は CN27、照会は CN28、取消は CN29。タイムシートは CAT2（入力）/ CAT3（照会）。進捗は CNE1 → KKA2 → KKAX、日程は CJ23（変更）/ CJ24（照会）で予測日付を更新し CJ20N のガントで確認します。
97,sapeto,handson-5.html,発展 6：部品・外注を WBS で直接手配,,.png,購買依頼の登録：勘定設定に WBS を入れて直接手配する,ME51N,ME51N：購買依頼（勘定設定 = WBS で直接手配）,1) 勘定設定に WBS を入れる＝費用が WBS に集まる。空のままだと費用はどの案件にも集まらない（CJI3 に出ない） / 2) 発注（ME21N）すると CJI5 にコミットメント（予定額）が立ち、予算を先に食う＝発展 3 の可用性管理の練習材料,自システムでの確認：発注は ME21N → 入庫は MIGO（101）/ 外注は支給と入庫 → 請求書照合は MIRO。コミットメントは CJI5、WBS の費用は CJI3、予算の使用額は CJ31 で確認します。外注の品目と移動タイプは F1 で確認してください。
