#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
49,sap_sd,handson-3.html,3-5 出荷伝票へのドリルダウン,,.png,Delivery 80007832 Display: Overview,VL03N,VL03N：動画の出荷伝票 80007832（明細 P-102 26 PC・P-104 39 PC、タブは 6 つ）,1) 明細は受注からそのまま引き継がれる。数量が受注と違えばピッキングで差が出ている / 2) 番号 80007832 は動画の教育用データ。計画 21.11.2000 に対し実績 23.11.2000 の差が「遅延」の見方,自システムでの確認：自分の出荷伝票番号で VL03N を開き、Status Overview タブと PGI（Post goods issue）ボタンの活性／非活性を見る。実機の明細列は他に Description・Open quantity・Val. type がある（図では省略）。受注 ⇄ 出荷伝票は VA03 の伝票フローから双方向に辿れる（出荷伝票は练习④ で作る）。
50,sap_sd,handson-3.html,3-6 出てこないときの切り分け,,.png,Sales Summary,VC/2,症状から疑う画面を引く：Sales Summary に出る内容は SIS の 4 画面の設定で決まる,1) まず症状を特定する。症状が決まれば疑う画面が 1 つに絞られる（＝切り分けの型） / 2) 「Last SD documents が空」の最頻出原因は C Order の統計更新 OFF。④ の画面で確認する,自システムでの確認：SPRO → Sales and Distribution → Sales Support → Information System 配下の 4 画面。設定欄は正式名を短縮した（① Maintain Report Views ／ ② Maintain Views for an Evaluation ／ ③ Maintain the Report Views for a User ／ ④ Last Documents for a Customer）。与信は OB45・OVA8・FD32。
51,sap_sd,handson-4.html,4-1 出荷できる受注,,.png,Display Sales Order: Initial Screen,VA03,VA03 の初期画面（出荷できる受注かどうかを確認する入口）,1) 受注タイプ OR と练习①で採番した受注番号で開く。表示モードで開けない＝その伝票が無い、が最初の切り分け / 2) 出荷できるかはヘッダで判断する：納入ブロック空欄・与信 OK・納入日程行あり＋出荷プラントの在庫あり,自システムでの確認：VA03 のヘッダで納入ブロック／与信ステータス、明細で納入日程行、CO09・MMBE で在庫の 4 点。受注番号は例（11088）です（自分の採番に読み替え）。
52,sap_sd,handson-4.html,4-2 出荷伝票の作成,,.png,Create Outbound Delivery with Order Reference,VL01N,VL01N で受注を参照して作った出荷伝票（明細の出荷数量と出荷プラントを確認する）,1) Delivery は保存時に採番される（受注番号とは別体系）。受注参照で作ると明細と数量が引き継がれる / 2) Sales Organization と納入日は受注から。ここが想定と違うと出荷ポイントも変わる,自システムでの確認：VL01N の初期画面で出荷ポイントが F4 に出るか（出ない＝出荷プラントと出荷ポイントの割当が未了）。Route（輸送経路）は Transport タブで確認します。
53,sap_sd,handson-4.html,4-3 ピッキングと出庫過帳,,.png,Change Outbound Delivery,VL02N,VL02N の Picking タブ（ピッキング数量を入れて保存し、そのあと出庫過帳する）,1) ピッキング数量が納入数量と一致すると「ピッキング完了」に進む。部分数量だと受注残が残る / 2) ピッキングのあとは Post goods issue。実行すると在庫が減り、取消には VL09 等が必要になる,自システムでの確認：PGI の後で MB51（移動タイプ 601 の明細）、MMBE のプラント在庫、VL03N の Status Overview を見る。PGI の前後で必ず記録を取る。
54,sap_sd,handson-4.html,4-4 出荷伝票の照会,,.png,Display Outbound Delivery: Item Overview,VL03N,動画と同じ VL03N の Item Overview（ヘッダの日付と明細の数量を見る）,1) 明細の数量が受注と一致しているか。ここが受注 → 出荷の連鎖の土台になる / 2) Document Date と Planned GI を押さえる。計画と実績の差は Goods Movement Data タブで読む,自システムでの確認：VL03N で自分の出荷伝票を開き、タブ構成とヘッダの日付欄のラベル（Planned GI / Actual GI date）を動画と見比べる。ラベルや並びは版により異なります。
55,sap_sd,handson-4.html,4-4 出荷伝票の照会,,.png,Display Outbound Delivery: Goods Movement Data,VL03N,同じ出荷伝票の Goods Movement Data / Status Overview（出庫過帳の状態を日付で読む）,1) 実出庫日に日付が入っていれば出庫過帳済み。動画で Post goods issue がグレーの理由がここで分かる / 2) 計画 21.11.2000 と実績 23.11.2000 の差が納期遅延。Status Overview タブと併せて読む,自システムでの確認：Goods Movement Data タブと Status Overview タブを見る。Post goods issue がグレーのときは「既に出庫過帳済み」か「権限が無い」を疑う。
56,sap_sd,handson-4.html,4-5 請求,,.png,Create Billing Document,VF01,VF01 の請求伝票（出荷を参照して作成し、ヘッダの金額と税を確認する）,1) 請求タイプ F2 は出荷関連請求タイプの設定から決まる。ここが伝票フローの 3 本目を決める / 2) Net Value が受注と一致するか、税が入っているかを、数量差と併せて確認する,自システムでの確認：VF01 で出荷番号を入れると請求タイプが提案される（提案されない＝出荷関連請求タイプの設定）。金額が受注と違うときは請求側の価格決定手順と数量差を確認。請求書番号は例（90035251）。ヘッダ項目の並びは版により異なります。
57,sap_sd,handson-4.html,4-6 伝票フローと Sales Summary,,.png,Document Flow,VA03,VA03 の伝票フロー（受注・出荷・請求の 3 種が 1 本になっていることを確認する）,1) 受注の下に出荷と請求がぶら下がる。番号・数量・金額の整合をここで確認する / 2) 請求まで並べば受注は業務として完結。VC/2 の Open 値もこの伝票から動く,自システムでの確認：VA03 → 伝票フローで 3 種の伝票を確認し、VC/2（Sales Summary）で Open Sales Order Val／Open Delivery Value／Open Bill. Doc. Val の変化を見る。番号は例です（統計更新のタイミングに注意）。
58,sap_sd,handson-5.html,5-1 ツールとヘルプ,,.png,Maintain User Profile,SU3,SU3（ユーザプロファイル）の Parameters タブ — ユーザ TSCM6-00 に設定された 2 行,1) Parameter ID と値の組が「入力の既定値」。受注の F4 や初期値がここで変わるので、変更は元の値を記録してから / 2) 入力欄にカーソルを置いて F1 を押すと、その欄のテーブル名・項目名（例：出荷プラント → VBAP-WERKS）が読める。値の出所を追う基本武器,自システムでの確認：SU3 の 4 タブ（Address／Defaults／Parameters／Favorites）を開き、Defaults で日付書式と通貨、Parameters で既定値、Favorites に VA01／VA03／VC/2／V.02 を登録する。F1 が出ない環境では SE16N で VBAK／VBAP を見て同じことを確認する。
59,sap_sd,handson-5.html,5-2 発展①,,.png,"Change View ""Maintain Sales Order Types"": Details",VOV8,VOV8 の詳細画面（ZOR1）— 出荷グループの Delivery Block に Customizing 由来のブロックを仕込んだ状態,1) 標準 OR は変更せず、コピーして作った自分の伝票タイプ ZOR1 を触る（標準を壊すと以降の動作が変わる） / 2) Delivery Block に値を入れると、この伝票タイプで作る受注は最初から出荷ブロック付きになる。設定を戻しても既存受注のブロックは残る（作ったときの設定が焼き付く）,自システムでの確認：ZOR1 で VA01 の受注を作ると Delivery block が自動で入り、OR では入らない。設定を戻したあと、新規受注には反映されず既存受注には残ることを比較する。不完全性手順などの ID は環境の値に読み替える。
60,sap_sd,handson-5.html,5-3 発展②,,.png,Display Customer Material Info Record,VD53,VD53（客先品目情報）の表示画面 — 得意先 1000 × 品目 T-ATA30 に出荷プラント 1200 を保守した状態,1) 客先品目情報の出荷プラントは 3 つの供給源のうち最優先。ここに値があると受注の VBAP-WERKS はこの値になる（空に戻すと得意先マスタの値に戻る） / 2) キーは得意先＋品目＋販売エリア（販売組織・チャネル）。ここを間違えると受注のプラント決定に効かない（つまずき①）,自システムでの確認：優先順位は 客先品目情報（VD53）> 得意先マスタ（XD03 の出荷タブ）> 品目マスタ（MM03 の販売組織 1）。3 回受注を作り、各段階で SE16N の VBAP-WERKS を記録すると実測できる（動画スライドの 1400／1100／1000／1200 と同じ仕組み）。終わったら元の値に戻す。
61,sap_sd,handson-5.html,5-4 発展③,,.png,"Change View ""Maintain Report Views"": Overview",SPRO,SPRO の「Maintain Report Views」— 情報ビュー Z01 を新規追加した 3 行目,1) Info view は VC/2（Sales Summary）で選ぶビューの ID。Z で始めれば標準ビューを壊さない / 2) ここで行を足しただけでは VC/2 に出ない。② 情報ブロックの割当（Maintain Views for an Evaluation）→ ③ ユーザへの割当 まで進めて初めて使える,自システムでの確認：SPRO → 販売と流通 → 販売サポート → リスト → 販売サマリ の 4 画面（Define Reporting Views／Assign Information Blocks To A View／Assign Default View To User／Set Document Display）。動画ではここで ZP2・ZPD が既に定義されている。
62,sap_sd,handson-5.html,5-4 発展③,,.png,"Change View ""Maintain the Report Views for a User"": Overview",SPRO,Maintain the Report Views for a User — 自分のユーザ TSCM6-00 を Z01 に割り当てた状態,1) 自分のユーザを Z01 に紐づける行。ここに入って初めて VC/2 のビュー選択に Z01 が出る / 2) User はログオン名と完全一致（大文字小文字と - の位置まで）。動画は BAPMS／WF-SD-2 という命名,自システムでの確認：割当後に VC/2 を実行し、View 一覧に Z01 が出るか、表示される情報ブロックが自分で選んだ 3〜5 個（Address／Sales Order Info／Last SD Documents など）になっているかを見る。練習後は元に戻すか講師の指示に従う。
63,sap_sd,handson-5.html,5-5 発展④,,.png,"Change View ""Incompletion Procedure"": Overview",OVA2,OVA2（不完全性手順）— 納入日程関連の項目を 1 つ追加し、VUA2 で Warning にした状態,1) 今回追加した項目。VUA2 で Warning にすると保存はできて、V.02 の一覧に載せて運用で拾える（Error のままだと保存できない） / 2) 動画で保存時に出る「Enter PO number」エラーはこの行が原因。標準ではなく、その環境の不完全性手順の設定,自システムでの確認：OVA2 で OR に割り当てた手順を開き、PO 番号系の項目が入っているかを見て「動画の症状がどの設定から出るか」を説明する。適用先は伝票タイプ（VOV8）／明細カテゴリ（VUP2）／納入日程行カテゴリ（VUE2）の 3 か所。変更前に元の値をメモし、最後に元へ戻す。
64,sap_sd,handson-5.html,5-5 発展④,,.png,List of Incomplete Sales Orders,V.02,V.02（不完全な受注一覧）— 警告で保存した受注が載っている状態,1) 保存時に警告で通した受注がここに載っている＝不完全なまま残っている証拠。放置すると出荷・請求に進めない / 2) 項目を埋めて保存し直すと、この行は一覧から消える。消えたことをもって直った確認にする,自システムでの確認：V.02 の選択条件・列・タイトルは環境により異なる。どの項目が欠けているかは SE16N の VBUV（明細）／VBUK（ヘッダ）で直接見る。受注を直して保存し直し、一覧から消えることまで確認する。
65,sap_sd,handson-5.html,5-6 故障対応の 4 画面,,.png,Diagnosis: Sales Order / Master Data / Customizing / Extension,VA03,故障対応の 4 画面 — 切り分けの順序（① 受注 → ② 主データ → ③ 設定 → ④ 拡張）,1) まず受注そのものを見る。何が空か／何が想定と違うかを言葉にしてから次の画面へ進む（症状の形が決まらないと ②③ は見当違いになる） / 2) ①②③がすべて正しいのに挙動が違うときだけ ④ を疑う。ABAP 拡張（USEREXIT・BAdI）は自分で直さず講師に相談する,自システムでの確認：異常が出たら VA03 で症状を記録 → XD03／MM03／VD53 で値の出所 → VOV8／VOV4／VOV5／OVA2 で決まり方 → 最後に拡張を疑う。症状・根因・証拠・処置を 3 件以上記録するのが验收の条件。
