#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapmts,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（標準原価含む）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) 見込生産は PIR と標準原価の前提が要る,標準価格をマーク・リリース（CK24）できなければ、会計期間と評価クラスを確認してください。
60,sapmts,handson-5.html,5-2 指図の決済（KO88 / CO88）,,.png,指図の決済：単品目（テスト実行 → 本番実行）,KO88,KO88：指図の決済,1) 「決済すべきものがありません」→ 差異計算未実施（KKS1 が先）or 決済ルール未設定 / 2) 会計期間が閉じていると前月の差異が決済できない（OB52 を確認、权限が必要）,自システムでの確認：実行ログ（決済済み・会計伝票番号）→ FB03 で伝票。表は SE16N: COBRB（決済ルール）/ AUFK-STAT。
61,sapmts,handson-5.html,5-2 指図の決済（KO88 / CO88）,,.png,会計伝票 照会：差異の転記先,FB03,FB03：決済の会計伝票,1) 差異の金額が KKS2 の結果と一致するか確認する（一致しないときは期間・目標原価バージョン・WIP の扱いを疑う） / 2) 決済で違いが消えた「どこに消えたか」を 3 行で説明できることがゴール,自システムでの確認：差異・WIP の勘定は決済プロファイル / 決済ルール（SPRO：管理会計 > 製品原価管理 > 指図 > 決済）で確認してください。
62,sapmts,handson-5.html,5-3 棚卸（MI01 / MI04 / MI07）,,.png,棚卸の実地数量入力,MI04,MI04：実地数量 298 PC（帳簿 300 PC）,"1) 差異 2 PC × 標準価格 8,000 = 16,000 JPY が MI07 で転記される / 2) 棚卸差異は見込生産では必ず起きる。まず記録（スクラップ未記録・数え間違い）の整備を疑う",自システムでの確認：MI03（棚卸伝票の照会）・MMBE（在庫更新）・FB03（差異の会計伝票）。転記科目は OBYC の BSX / GBB。
63,sapmts,handson-5.html,5-3 棚卸（MI01 / MI04 / MI07）,,.png,棚卸差異の転記と在庫更新,MI07,"MI07：差異 2 PC（16,000 JPY）を転記",1) MI07 で転記できないときは評価クラス・OBYC の設定不足 or 会計期間閉鎖を疑う / 2) MB52 / MMBE で在庫が実地数量 298 PC になっていることを確認する,自システムでの確認：MMBE / MB52 の在庫、FB03 の会計伝票。一括は MI31（伝票作成）/ MI10（入力）。
64,sapmts,handson-5.html,5-4 安全在庫切れ・欠品時の対応（見込生産の「救急セット」）,,.png,在庫一覧：在庫タイプ別（欠品の切り分け 1 手目）,MMBE,MMBE：在庫タイプ別に見る（切り分けの 1 手目）,1) 在庫があるのに欠品 → 別の在庫タイプ / 別の保管場所 / 別受注の先取りを疑う / 2) 安全在庫は守るべき絶対量ではなく MRP の補貨トリガ。出荷可否は引当と納期で決める,自システムでの確認：MB52（保管場所別）→ CO09（可用量と要素）→ MD04（時系列）の順で見るのが定石です。
65,sapmts,handson-5.html,5-4 安全在庫切れ・欠品時の対応（見込生産の「救急セット」）,,.png,利用可能在庫確認：引当不能（欠品）の状態,CO09,CO09：引当不能（利用可能数量 -100）,1) 打ち手：V_V2 で納期再設定 / 指図の前倒し / 在庫転送 / 納入日程行の分割 / 2) 欠品を隠して後で辻褄を合わせるのが最も危険。差異・棚卸・差異カテゴリが全部崩れる,自システムでの確認：VL03N の在庫/引当、CO09 の出庫予定順（伝票登録順）で「誰が先に取ったか」を確認します。
66,sapmts,handson-5.html,5-5 見込在庫と受注の取り合い（MTS の経営的な意味）,,.png,在庫の帰属：自由在庫（MARD）と受注在庫 E（MSKA）の対比,MMBE,MTS と MTO の取り合いの構造,1) 分水岭は「入库先が自由在庫か受注在庫か」の 1 点。需要源は PIR か受注か / 2) 安全在庫を上げると欠品率は下がるが在庫金額は増える。正解は状況次第、理由が言えることが価値,自システムでの確認：MMBE の「非制限利用」と「得意先別（特別在庫）」、表は MARD（自由在庫）と MSKA（受注在庫）。
67,sapmts,handson-5.html,5-7 MD04 の読み方表（MTS 场景里最常出现的行）,,.png,在庫/所要量リスト：MTS で最頻出の 8 種類の行,MD04,MD04 の読み方：8 種類の行,1) 「需要か供給か」で分類する。在庫と計画手配・指図は供給側（入庫予定） / 2) 「いつ、いくつ足りないか」が言えたら、そのまま MRP（C14 / 练习②）の話に戻れる,自システムでの確認：要素名はシステム言語で変わるため、参照（受注番号・指図番号）の有無で判断するのが確実です。
68,sapmts,handson-5.html,5-8 発展課題,,.png,在庫/所要量リスト：戦略 10 では受注が PIR を消費しない,MD04,ZMTS-FG10（戦略 10）：PIR は消費されない,1) 戦略 10 は受注が PIR を消費しない。PIR の行は 500 PC のまま残り、受注 200 PC と合わせて需要が二重に立つ / 2) 同じ受注でも 40 と 10 で MD04 の計画手配が変わる。4-3（戦略 40）の画面と並べて読むのが発展課題①,自システムでの確認：ZMTS-FG10 は MM01（同一 BOM / 工程・戦略グループ 10）で追加し、受注後も SE16N: PBED の PLNMG が変わらないことを確認します。戦略グループは MARC-STRGR（MM03 MRP 3）。
69,sapmts,handson-5.html,5-8 発展課題,,.png,在庫/所要量リスト：部品の補充が「購買依頼」になる（手配タイプ F）,MD04,ZMTS-RM01（手配タイプ F）：購買依頼で補充,"1) 手配タイプ F = 外部調達。部品の MRP 結果は計画手配ではなく購買依頼になる（完成品の E・内製との違い） / 2) ME21N で発注 → MIGO（参照伝票 購買発注・移動タイプ 101）で入庫すると、この行が購買発注 → 自由在庫（MMBE 1,000 PC）に置き換わる",自システムでの確認：購買依頼は SE16N: EBAN（BANFN / MENGE）、発注は EKKO / EKPO、入庫は MATDOC。手配タイプは MM03 → MRP 1。
