#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapmto,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない（未指定なら最初に作る） / 2) ① 依頼 ② SPRO 権限 ③ 番号範囲 —— この 3 点だけ先に確認,手顺の中の SPRO パスは日本語表記です。環境によってノード名が違う場合があるため、T-code を直接入力するのが速く確実です。
64,sapmto,handson-3.html,3-5 指図與受注的状態確認,,.png,製造指図の照会：状態と納入済数量,CO03,3-5 CO03：状態 REL CNF、納入済数量 10 PC,1) REL CNF で、10 PC が受注在庫へ入庫済み。この指図の仕事はここで完了です,自システムでの確認：COOIS（製造指図一覧）で受注番号や品目で絞り込むと、指図をまとめて確認できます。
65,sapmto,handson-4.html,4-1 出荷伝票の登録（VL01N）,,.png,出荷伝票の登録：初期画面,VL01N,4-1 VL01N：出荷タイプ LF・出荷先 1000・参照に受注 0000001234,1) 出荷ポイントはプラント 1000 と出荷先 1000 から決定されます。決まらないと出荷伝票は保存できません / 2) 受注を参照すると納期行が提案され、受注在庫 E がそのまま引き継がれます,自システムでの確認：VA03 → 明細 → メニュー「明細」→「出荷」から、受注明細をそのまま出荷伝票にすることもできます。
66,sapmto,handson-4.html,4-1 出荷伝票の登録（VL01N）,,.png,出荷伝票の登録：明細,VL01N,4-1 出荷明細：品目 ZMTO-FG01 / 10 PC / 在庫区分 受注在庫 E / 引当 10,1) 在庫区分が受注在庫（E）になっていること。自由在庫だと出荷と受注在庫がつながっていません / 2) 引当（引当数量）が 10 なら現物が確保できています,自システムでの確認：引当が 0 のときは受注在庫の数量（MMBE）と納期行の日付を確認してください。
67,sapmto,handson-4.html,4-2 ピッキングと確認（VL02N）,,.png,出荷伝票の変更：ピッキング,VL02N,4-2 VL02N：ピッキング数量 10 を入力し、出荷ステータスを B へ,1) 明細の在庫区分と受注番号をここでも確認。自由在庫になっていたら出荷と受注在庫がつながっていません / 2) ピッキング数量を入れる＝現物を確保したという意思表示。ステータス B がピッキング完了の状態です,自システムでの確認：本站は IM（在庫管理）场景のため、出荷伝票上でピッキングと出庫確認を行います（LE/WM の倉庫管理を有効にしている場合は TO 確認が必要です）。
68,sapmto,handson-4.html,4-3 出庫確認（PGI / 移動タイプ 601）,,.png,出荷伝票：出庫確認（PGI）,VL02N,4-3 PGI 実行：出庫確認が転記され、移動タイプ 601 で受注在庫が消化される,1) PGI で受注在庫 E から 601 で出庫します。受注在庫が 0 になります（消化の瞬間） / 2) 取り消すときは VL09（出庫確認の取消）。库存と会計が両方向に戻るのを練習すると理解が深まります,自システムでの確認：SE16N → MATDOC（旧構造は MSEG）で移動タイプ 601・特別在庫 E・数量 10 の行を確認します。
69,sapmto,handson-4.html,4-3 出庫確認（PGI / 移動タイプ 601）,,.png,在庫概要：受注在庫 0 PC,MMBE,4-3 確認：受注在庫が 10 → 0 PC になり、受注が納入済になる,1) 受注在庫が 0 になる＝売れた分が在庫から抜けた。ここまでで SD×PP×MM が一周します,自システムでの確認：FB03 で PGI の会計伝票（売上原価 / 在庫）を確認できます。C16（OBYC）で見た設定が効いています。
70,sapmto,handson-4.html,4-4 請求伝票の登録（VF01）,,.png,請求伝票の登録：初期画面,VF01,4-4 VF01：請求タイプ F2・参照に出荷伝票 0080001234,1) 請求タイプ F2 が使えること、そして出荷伝票 LF → 請求 F2 のコピー制御が有効であることが前提です（C15） / 2) 請求数量・金額は出荷実績（10 PC）と条件 PR00 から決まります,自システムでの確認：請求をやり直すときは VF11（請求伝票の取消）。取消後は VF01 で再作成できます。
71,sapmto,handson-4.html,4-4 請求伝票の登録（VF01）,,.png,請求伝票の条件,VF01,"4-4 請求金額：PR00 12,000 × 10 = 120,000 JPY、税 12,000、合計 132,000 JPY","1) 120,000 JPY は受注時の条件（PR00 12,000 × 10）と一致しているはず。ここまで金額がつながると受注がお金になりました",自システムでの確認：VF03 で請求伝票を照会し、条件タブと会計伝票（売掛金 / 売上）を確認します。
72,sapmto,handson-4.html,4-5 伝票フローで全プロセスを串起来（本练习的收尾）,,.png,伝票フロー,VA03,4-5 伝票フロー：受注 → 指図 → 入庫 → 出荷 → 出庫確認 → 請求 が一本につながる,1) 受注 1 件から指図・出荷・請求までがすべてつながっていること＝ MTO の全工程が成立した証明です,自システムでの確認：SE16N → VBFA（伝票フロー）に受注番号を入れると、後続伝票の関連レコードを直接確認できます。
73,sapmto,handson-4.html,4-5 伝票フローで全プロセスを串起来（本练习的收尾）,,.png,品目在庫/所要量一覧（クロージング確認）,MD04,4-5 最後の MD04：需求が吸収され、受注在庫 0・指図完了・利用可能 0 で閉じる,1) 受注由来の需要・供給がすべて納入済みになり、余った在庫もありません（自由在庫 0 のまま）,自システムでの確認：得意先別表示に切り替えると、この受注の在庫と需要が消えていることを確認できます。
74,sapmto,handson-5.html,発展 1：組立処理（戦略グループ 82）— 受注保存と同時に製造指図,,.png,受注伝票の登録：明細概況（戦略グループ 82 の検証用）,VA01,発展1 VA01 明細概況：ZMTO-FG02 / 5 PC / 明細カテゴリ TAN・納入日程行カテゴリ CN,1) 82 の検証は別品目 ZMTO-FG02 で行うと、主线（ZMTO-FG01）のデータを汚さずに 20 と 82 を比較できます / 2) 数量 5 PC は、この後できあがる指図の数量と一致しているか（1:1）を見る基準になります,自システムでの確認：戦略グループ 82 は OPPJ / OPPS で確認します（所要量タイプ KMFA・所要量クラス 201・指図タイプ PP04）。BOM と作業手順は CS03 / CA03 で前提を確認します。
75,sapmto,handson-5.html,発展 1：組立処理（戦略グループ 82）— 受注保存と同時に製造指図,,.png,製造指図の照会：ヘッダ（受注保存と同時に自動作成）,CO03,発展1 CO03：受注 0000001240 から自動生成された指図 1000201（PP04・数量 5 PC）,1) 指図タイプが PP04 なのが組立処理の手がかり。標準の PP01（戦略 20）と違い、受注保存の瞬間にこの指図ができています / 2) 販売伝票 + 明細が入っている＝この指図はこの受注専用（1:1）。受注数量を変えたら指図の数量も合わせます,自システムでの確認：SE16N → AFPO で KDAUF / KDPOS（受注明細参照）を直接確認できます。MD04 では「計画手配」を経由せず、受注在庫 + 製造指図が直接並びます。
76,sapmto,handson-5.html,発展 2：自建明細カテゴリ ZTAK 的切换（验证 C5〜C9 的成果）,,.png,品目マスタ 変更：販売組織 2 ビュー（品目カテゴリグループ）,MM02,発展2 MM02 販売組織2：品目カテゴリグループを 0001 → Z001 に切り替え,1) Z001 を入れると VOV4（OR + Z001）で ZTAK が決まるようになります。C6〜C8 の成果がここで使われます / 2) 変更前に作った受注には効かないので、検証は必ず新規受注で行います,自システムでの確認：VOV4 で OR + 品目カテゴリグループ Z001 → 明細カテゴリ ZTAK の割当を確認します。VOV7 の ZTAK には 特別在庫 E（SOBKZ）が必要です。
77,sapmto,handson-5.html,発展 2：自建明細カテゴリ ZTAK 的切换（验证 C5〜C9 的成果）,,.png,受注照会：明細詳細（明細カテゴリ ZTAK）,VA03,発展2 VA03 明細詳細：明細カテゴリ ZTAK・特別在庫 E・納入日程行カテゴリ ZCP,1) 明細カテゴリが ZTAK に自動で決まった＝C6〜C8（Z001 / VOV7 / VOV4）が効いている証拠です / 2) 特別在庫 E が出ていれば、この明細は受注在庫で管理されます（ZTAK の SOBKZ = E）,自システムでの確認：対照実験として品目カテゴリグループを 0001 に戻し、同じ手順で受注を作ると明細カテゴリは TAN に戻ります。SE16N → VBAP（PSTYV = 明細カテゴリ / SOBKZ = 特別在庫）でも確認できます。
78,sapmto,handson-5.html,発展 3：差异与结算（受注在庫的「最后一公里」）,,.png,製造指図の差異計算：実行条件と差異結果,KKS1,発展3 KKS1：指図 1000123 の差異計算（差異種別ごとに金額を確認）,1) 差異計算は「実際原価 vs 入庫金額（標準）」の差を種類別に出す計算。まず KKS1、次に KO88（決済） / 2) テスト実行を ON にすると FI に転記せず結果だけ確認できます（本番は OFF）,自システムでの確認：KKBC_ORD で指図の計画 / 実際原価の内訳を確認できます。差異があるときは種類（数量 / 価格 / ロットサイズ / 残）で原因を切り分けます。
79,sapmto,handson-5.html,発展 3：差异与结算（受注在庫的「最后一公里」）,,.png,指図の決済：実行画面,KO88,発展3 KO88：指図 1000123 を決済（差異が FI に流れる）,1) 決済で指図の実際原価が受注在庫（受注明細）へ流れ、差異は FI に転記されます（FB03 の会計伝票で確認） / 2) テスト実行を ON にすると転記せずログだけ確認できます。ON で予行 → OFF で本番が安全です,自システムでの確認：決済ルールは CO02 →「決済ルール」で確認します（MTO では受注明細 / 受注在庫が受取側）。1 件ずつが KO88、一括は CO88 です。
80,sapmto,handson-5.html,発展 4：部品改由采购供给（MRP → 購買依頼 → 発注）,,.png,品目在庫/所要量一覧：ZMTO-RM01（手配タイプ F）,MD04,発展4 MD04：ZMTO-RM01 に「購買依頼」が出る（＝外部調達の手配）,1) 購買依頼が出ている＝MRP がこの部品を外部調達として手配した結果。内製（手配タイプ E）なら計画手配になります / 2) 発注に変換すると、この行は「購買発注（入庫予定）」に替わって入庫日が見えるようになります,自システムでの確認：MM02 の MRP1 / 2 で 手配タイプ F・購買グループ・購買発注タイプ NB を設定後、MD02（単品目）または MD01N を実行します。ME59N（一括変換）/ ME21N（手動）で発注、MIGO 101（購買発注参照）で入庫します。
81,sapmto,handson-5.html,発展 5：取消・変更・返品（练习必须会）,,.png,受注の変更：数量と納期の変更,VA02,発展5 VA02：受注 0000001234 の数量を 10 → 8 PC に変更,1) 数量を変えても指図・計画手配は自動では追随しません。保存後に再 MRP（MD02 / MD01N）と指図の数量調整が必要です / 2) 戦略 82 は受注と指図が 1:1 なので、数量変更は指図の数量にも影響します,自システムでの確認：変更後は MD04 で 得意先所要量 と 計画手配 / 指図がどう変わったかを確認します（数量増は新しい計画手配、減は余剰として表示）。
82,sapmto,handson-5.html,発展 5：取消・変更・返品（练习必须会）,,.png,出庫確認の取消（PGI 取消）,VL09,発展5 VL09：PGI を取り消して受注在庫 10 PC を戻す,1) 取消は後続伝票から逆順に：請求 VF11 → PGI VL09 → 入庫 MIGO 取消 → 実績 CO13 → 指図 CO02。順序を間違えるとエラーになります / 2) 返品は VA01（伝票タイプ RE）→ VL01N（返品出荷 LR）→ VF01（貸方伝票）。MTO の返品品は他の受注には使えません,自システムでの確認：PGI 取消後は MMBE で受注在庫 E が 0 → 10 PC に戻っていることを確認します。入出庫伝票の取消は MIGO（取消）/ MBST、実績は CO13、指図は CO02（削除フラグ / TECO）です。
