#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapvc,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（VC / AVC）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) AVC(PMEVC) が使えるかは最初に確認（設計方針が変わる）,S/4HANA の AVC では PMEVC が統合モデリング環境です。従来の CU41 系を使うかはプロジェクトで決めてください。
60,sapvc,handson-4.html,4-4 製造指図への設定値伝搬（CO40 / CO08 / CO03）,,.png,指図の構成品目と工程（受注 BOM との一致）,CO03,4-4 構成品目が受注 BOM と一致し、塗装工程が採用されているか,1) 構成値が効いて工程の取捨も効いている（塗装 EPOXY なので 0030 が採用） / 2) 「受注では正しいのに指図が違う」＝ VC の故障の典型パターン。この画面の 4 点で確認する,自システムでの確認：CO03 → 構成品目（部品一覧）が受注 BOM と同じか、工程一覧で塗装工程が採用されているか、指図がリリース済みか（CO02 でリリース）。
61,sapvc,handson-4.html,4-5 部品出庫・製造実績・完成入庫（261 / CO11N / 101）,,.png,部品出庫（移動タイプ 261）：指図への材料払出,MIGO,4-5 受注 BOM に無い部品は出庫できない（選択条件が効いている証拠）,1) エラーになること自体が統制が効いている証拠（誤品出庫の防止） / 2) 「指図に部品がありません」→ 指図の BOM 未展開（プロファイル処理形式・有効日）,自システムでの確認：MIGO で 261 → 指図番号 → 構成品目を出庫。受注 BOM に無い部品（ZVC-CAS-FC）を入れるとエラーになることを確認。
62,sapvc,handson-4.html,4-5 部品出庫・製造実績・完成入庫（261 / CO11N / 101）,,.png,製造実績（CO11N）と完成入庫（101 → 受注在庫 E）,MIGO,4-5 歩留数量 10 を確認し、101 で受注在庫（E）に 10 PC 入庫する,1) 入庫先が自由在庫になる → MRP4 個別所要量／所要量クラスの在庫区分（受注在庫でない） / 2) 部品は 261 またはバックフラッシュで自動出庫される,自システムでの確認：MMBE の受注在庫（E）10 PC（受注番号つき）、MB52、部品在庫の減少（261 / バックフラッシュ）、CO03 の指図状態（CNF 系）。
63,sapvc,handson-4.html,4-6 出荷・出庫確認（VL01N / VL02N・601）,,.png,出庫確認（PGI / 移動タイプ 601）— 受注在庫が 0 になる,VL02N,4-6 受注在庫（E）から客先へ出る（在庫区分 E と 601）,1) 在庫区分 E からの出庫＝受注在庫が「受注の都合だけで動いている」ことが VC × MTO の本質 / 2) PGI で「在庫が不足」→ 101 入庫の数量不一致を確認,自システムでの確認：出荷明細の在庫区分 E と受注番号、PGI 後の MMBE（E = 0）、MB03 の資材伝票で 601 と会計伝票。
64,sapvc,handson-4.html,4-7 請求と伝票フロー（VF01）,,.png,請求書の登録：変種価格（VA00）を載せて請求まで通す,VF01,4-7 請求に PR00 ＋ VA00 が乗り、伝票フローが閉じるか,1) VA00 の加算が請求まで運ばれる（変種価格の最終証拠） / 2) 加算が無い → VTFL（出荷 → 請求のコピー制御）か条件レコードの有効期間,自システムでの確認：VF03 の条件タブ（VA00 行）、伝票フロー（履歴）、FB03 の会計伝票（売掛金・売上）。
65,sapvc,handson-4.html,4-7 請求と伝票フロー（VF01）,,.png,伝票フロー：受注 → 出荷 → 請求 → 会計伝票,VA03,4-7 VC の受注生産を 1 周した最終証拠,1) チェーンが閉じている＝VC の受注生産を 1 周した証拠,自システムでの確認：VA03 → 伝票フロー（履歴）で各伝票のステータス、FB03 で請求の会計伝票と入出庫の在庫勘定を 1 件ずつ。
66,sapvc,handson-5.html,5-1 変更統制：受注後に構成を変えたら何が起きるか,,.png,受注の構成変更後：受注 BOM は自動で追従しない,VA03,5-1 構成を SUS316 → SUS304 に変えても構成品目は古いまま（再展開が必要）,1) 構成を変えても受注 BOM は古いまま＝再展開が必要（システムは統制してくれない） / 2) 変更統制は「リリース前は再展開、リリース後は禁止＋例外」のルール設計が本質,自システムでの確認：VA02 で構成値を変更 → 明細の構成品目が変わっていないことを確認 → 受注明細の再展開（構成品目の再展開）で変わることを確認。
67,sapvc,handson-5.html,5-1 変更統制：受注後に構成を変えたら何が起きるか,,.png,製造指図：構成変更は指図に自動で伝わらない,CO03,5-1 指図側は古い構成のまま（部品予約 RESB の増減と差異に注意）,1) 「受注で材質を変えたのに指図が古い」は仕様（再展開の運用設計が必要） / 2) 条件は受注にコピーされているため、条件レコードを直しても既存受注の金額は変わらない,自システムでの確認：CO03 の構成が SUS316 のままであること、CO02 の「構成品目の再展開」または指図の作り直しのどちらで運用するかを決める。
68,sapvc,handson-5.html,5-2 戦略 82（受注組立）への切替 — 受注と指図が 1:1,,.png,品目 ZVC-PUMP01 の変更：MRP3 戦略グループ 25 → 82,MM02,5-2 戦略 82 は受注と指図が 1:1（変更は新規受注にだけ効く）,1) 82 に切り替えると受注保存と同時に指図が作られる（25 との決定的な違い） / 2) 既存受注には効かない（新規受注で確認する）,自システムでの確認：MM03 の MRP3。変更は新規受注にだけ効き、既存受注は元のままであることを VA03 / CO03 で確認。確認後は 25 に戻す。
69,sapvc,handson-5.html,5-2 戦略 82（受注組立）への切替 — 受注と指図が 1:1,,.png,所要量クラス 201 の属性（戦略 82 側の比較）,OVZG,5-2 201 が指図タイプ PP04 を持つか（SAP Help の組立処理の標準設定）,1) 指図タイプ PP04 が受注組立の鍵（自動作成されないなら BOM 未整備・指図タイプ設定を疑う）,自システムでの確認：OVZG の 201（指図タイプ PP04）、OPPS / OPPJ の 82 → KMFA、受注保存後に COOIS / CO03 で指図が自動作成されているか、MD04 で受注と指図が 1:1 か。
70,sapvc,handson-5.html,5-3 故障対応の 3 画面（CU50 / CU03 / CU02 の読み方）,,.png,設定シミュレーション：設定値と選択された構成品目,CU50,5-3 CU50 で同じ構成を再現する（受注に触らずに切り分ける最強の 1 画面）,1) 設定画面が出る＝品目の 5 条件（MM03）とプロファイル割当（CU43）が揃っている証拠 / 2) 展開レベルを切り替えて差を見る（「部品が出ない」の 2 箇所目はここ） / 3) 構成品目は選択条件（CU03 で適用先を確認）が効いた結果。受注の構成品目と突き合わせる,自システムでの確認：CU50 の BOM 展開を しない / 1 階層 / 多階層 で切り替えて結果を比較し、受注 0000001234 の構成品目と一致するかを見る。
71,sapvc,handson-5.html,5-3 故障対応の 3 画面（CU50 / CU03 / CU02 の読み方）,,.png,依存関係の照会：選択条件の適用先 / 使用箇所,CU03,5-3 CU03 で「この選択条件がどこに貼られているか」を見る（出ない＝絶対に発火しない）,1) 適用先が BOM 明細になっていること＝BOM が変わる。特徴値に貼ると無反応（症状は同じ） / 2) 選択条件は BOM 明細・工程、前提条件は特徴値に貼る（種類と適用先の組合せを覚える）,自システムでの確認：CU03 で依存関係を 1 本ずつ選び、適用先 / 使用箇所一覧に BOM 明細と工程が出るか（出ない依存関係は無反応の原因）。
72,sapvc,handson-5.html,5-3 故障対応の 3 画面（CU50 / CU03 / CU02 の読み方）,,.png,依存関係の変更：式の修正と構文チェック,CU02,5-3 CU02 で式を直し、同じ依存関係を CU50 で即確認する（修正 → 確認のループ）,1) 適用先違いが無反応の第 1 位（特徴に選択条件を貼る等）。式より先に適用先を見る / 2) $SELF と $ROOT の取り違えは症状が全く同じ「無反応」→ 参照先を意識する / 3) 直したら同じ依存関係を CU50 で即確認（部品が 1 行変わるか）,自システムでの確認：CU02 で式を直して保存 → CU50 の構成品目が 1 行変わるかを確認（正しさを決めるのは CU50 の挙動）。
73,sapvc,handson-5.html,5-5 発展課題（時間の余裕に応じて 2 つ以上）,,.png,複製品目の品目カテゴリグループ 0002 → 0004（SET 処理の前提）,MM01,5-5 発展 2 SET 処理：0004 にすると構成品目が子明細として並ぶ（varconf の記載）,1) 0004 は子明細（SET）の前提。親明細は情報のみで価格・所要量は子明細側に移る / 2) 処理形式は受注を流す前に固める（既存受注がある状態で変えると壊れる）,自システムでの確認：MM03 販売組織 2 で品目カテゴリグループを確認 → プロファイルを SET にして受注を流し、構成品目が子明細として並ぶかを見る。
74,sapvc,handson-5.html,5-5 発展課題（時間の余裕に応じて 2 つ以上）,,.png,設定プロファイル ZVC_PROFILE01：処理形式を伝票明細（SET）に,CU42,5-5 発展 2 SET へ切り替える（構成品目が子明細で並ぶ動きを見る）,1) SET にすると構成品目が受注の子明細として並ぶ（価格は子明細側に付く） / 2) 処理形式は「BOM をどこに置くか」の設計判断。受注を流す前に固める,自システムでの確認：CU43 で処理形式を照会 → 受注（VA01）で構成品目が子明細として並ぶか、価格が子明細側に付くかを確認（varconf の記載）。
